t,infer,step,vx_raw,wz_raw
1784787585.5042,102,43,0.01089,-0.0165
1784787585.5042,102,44,0.01782,-0.00866
1784787585.5042,102,45,0.01816,-0.01538
1784787585.5042,102,46,0.01749,-0.01049
1784787585.5042,102,47,0.02288,-0.04005
1784787585.5042,102,48,0.01248,-0.00205
1784787585.5042,102,49,0.01704,-0.01852
1784787585.5042,102,50,0.01688,-0.03126
1784787585.5042,102,51,0.02346,-0.06401
1784787585.5042,102,52,0.02159,-0.05238
1784787585.5042,102,53,0.02085,-0.04055
1784787585.5042,102,54,0.02079,-0.03363
1784787585.5042,102,55,0.01319,-0.02431
1784787585.5042,102,56,0.01961,-0.05224
1784787585.5042,102,57,0.01688,-0.05648
1784787585.5042,102,58,0.01253,-0.05159
1784787585.5042,102,59,0.01498,-0.04552
1784787585.836,103,0,0.02986,-0.10516
1784787585.836,103,1,0.02741,-0.11298
1784787585.836,103,2,0.02918,-0.1164
1784787585.836,103,3,0.02681,-0.11849
1784787585.836,103,4,0.02218,-0.11344
1784787585.836,103,5,0.02873,-0.11462
1784787585.836,103,6,0.02708,-0.12779
1784787585.836,103,7,0.02995,-0.1302
1784787585.836,103,8,0.03575,-0.14013
1784787585.836,103,9,0.04392,-0.17155
1784787585.836,103,10,0.0509,-0.16812
1784787585.836,103,11,0.05479,-0.18021
1784787585.836,103,12,0.05157,-0.21232
1784787585.836,103,13,0.05133,-0.1998
1784787585.836,103,14,0.05247,-0.18476
1784787585.836,103,15,0.05522,-0.15518
1784787585.836,103,16,0.05593,-0.16604
1784787585.836,103,17,0.05441,-0.16287
1784787585.836,103,18,0.05551,-0.16199
1784787585.836,103,19,0.05247,-0.08399
1784787585.836,103,20,0.05447,-0.08898
1784787585.836,103,21,0.0567,-0.10974
1784787585.836,103,22,0.06017,-0.12957
1784787585.836,103,23,0.0585,-0.11601
1784787585.836,103,24,0.05964,-0.1104
1784787585.836,103,25,0.06736,-0.06214
1784787585.836,103,26,0.06929,-0.0597
1784787585.836,103,27,0.06666,-0.04776
1784787585.836,103,28,0.06178,-0.035
1784787585.836,103,29,0.0602,-0.04078
1784787585.836,103,30,0.05747,-0.03083
1784787585.836,103,31,0.06304,-0.02048
1784787585.836,103,32,0.06412,-0.03372
1784787585.836,103,33,0.0623,-0.00384
1784787585.836,103,34,0.063,-0.04024
1784787585.836,103,35,0.05762,-0.0206
1784787585.836,103,36,0.05655,-0.02005
1784787585.836,103,37,0.05365,-0.02911
1784787585.836,103,38,0.05052,-0.03018
1784787585.836,103,39,0.05526,-0.03385
1784787585.836,103,40,0.05526,-0.01535
1784787585.836,103,41,0.05317,-0.0035
1784787585.836,103,42,0.04805,0.00956
1784787585.836,103,43,0.04759,0.01299
1784787585.836,103,44,0.03563,-0.03509
1784787585.836,103,45,0.03427,-0.05009
1784787585.836,103,46,0.03589,-0.04836
1784787585.836,103,47,0.04449,-0.05499
1784787585.836,103,48,0.04556,-0.03931
1784787585.836,103,49,0.04913,-0.04842
1784787585.836,103,50,0.0416,-0.09932
1784787585.836,103,51,0.04198,-0.10009
1784787585.836,103,52,0.0385,-0.09704
1784787585.836,103,53,0.03987,-0.08254
1784787585.836,103,54,0.04304,-0.06701
1784787585.836,103,55,0.05355,-0.08088
1784787585.836,103,56,0.06348,-0.04427
1784787585.836,103,57,0.06574,-0.04192
1784787585.836,103,58,0.06779,-0.03394
1784787585.836,103,59,0.0675,-0.07233
1784787586.0344,104,0,0.02531,-0.08355
1784787586.0344,104,1,0.02686,-0.08485
1784787586.0344,104,2,0.02361,-0.07167
