seq,anchor_robot_t,step,step_robot_t,vx,wz,dt
5020,175724.7866,14,175725.2532,0.0,0.0,0.03333
5020,175724.7866,15,175725.2866,0.0,0.0,0.03333
5020,175724.7866,16,175725.3199,0.0,0.0,0.03333
5020,175724.7866,17,175725.3532,0.0,0.0,0.03333
5020,175724.7866,18,175725.3866,0.0,0.0,0.03333
5020,175724.7866,19,175725.4199,0.0,0.0,0.03333
5020,175724.7866,20,175725.4532,0.0,0.0,0.03333
5020,175724.7866,21,175725.4866,0.0,0.0,0.03333
5020,175724.7866,22,175725.5199,0.0,0.0,0.03333
5020,175724.7866,23,175725.5532,0.0,0.0,0.03333
5020,175724.7866,24,175725.5866,0.0,0.0,0.03333
5020,175724.7866,25,175725.6199,0.0,0.0,0.03333
5020,175724.7866,26,175725.6532,0.0,0.0,0.03333
5020,175724.7866,27,175725.6866,0.0,0.0,0.03333
5020,175724.7866,28,175725.7199,0.0,0.0,0.03333
5020,175724.7866,29,175725.7532,0.0,0.0,0.03333
5020,175724.7866,30,175725.7866,0.0,0.0,0.03333
5020,175724.7866,31,175725.8199,0.0,0.0,0.03333
5021,175724.8883,0,175724.8883,0.0,0.0,0.03333
5021,175724.8883,1,175724.9216,0.0,0.0,0.03333
5021,175724.8883,2,175724.955,0.0,0.0,0.03333
5021,175724.8883,3,175724.9883,0.0,0.0,0.03333
5021,175724.8883,4,175725.0216,0.0,0.0,0.03333
5021,175724.8883,5,175725.055,0.0,0.0,0.03333
5021,175724.8883,6,175725.0883,0.0,0.0,0.03333
5021,175724.8883,7,175725.1216,0.0,0.0,0.03333
5021,175724.8883,8,175725.155,0.0,0.0,0.03333
5021,175724.8883,9,175725.1883,0.0,0.0,0.03333
5021,175724.8883,10,175725.2216,0.0,0.0,0.03333
5021,175724.8883,11,175725.255,0.0,0.0,0.03333
5021,175724.8883,12,175725.2883,0.0,0.0,0.03333
5021,175724.8883,13,175725.3216,0.0,0.0,0.03333
5021,175724.8883,14,175725.355,0.0,0.0,0.03333
5021,175724.8883,15,175725.3883,0.0,0.0,0.03333
5021,175724.8883,16,175725.4216,0.0,0.0,0.03333
5021,175724.8883,17,175725.455,0.0,0.0,0.03333
5021,175724.8883,18,175725.4883,0.0,0.0,0.03333
5021,175724.8883,19,175725.5216,0.0,0.0,0.03333
5021,175724.8883,20,175725.555,0.0,0.0,0.03333
5021,175724.8883,21,175725.5883,0.0,0.0,0.03333
5021,175724.8883,22,175725.6216,0.0,0.0,0.03333
5021,175724.8883,23,175725.655,0.0,0.0,0.03333
5021,175724.8883,24,175725.6883,0.0,0.0,0.03333
5021,175724.8883,25,175725.7216,0.0,0.0,0.03333
5021,175724.8883,26,175725.755,0.0,0.0,0.03333
5021,175724.8883,27,175725.7883,0.0,0.0,0.03333
5021,175724.8883,28,175725.8216,0.0,0.0,0.03333
5021,175724.8883,29,175725.855,0.0,0.0,0.03333
5021,175724.8883,30,175725.8883,0.0,0.0,0.03333
5021,175724.8883,31,175725.9216,0.0,0.0,0.03333
5022,175724.9894,0,175724.9894,0.0,0.0,0.03333
5022,175724.9894,1,175725.0227,0.0,0.0,0.03333
5022,175724.9894,2,175725.0561,0.0,0.0,0.03333
5022,175724.9894,3,175725.0894,0.0,0.0,0.03333
5022,175724.9894,4,175725.1227,0.0,0.0,0.03333
5022,175724.9894,5,175725.1561,0.0,0.0,0.03333
5022,175724.9894,6,175725.1894,0.0,0.0,0.03333
5022,175724.9894,7,175725.2227,0.0,0.0,0.03333
5022,175724.9894,8,175725.2561,0.0,0.0,0.03333
5022,175724.9894,9,175725.2894,0.0,0.0,0.03333
5022,175724.9894,10,175725.3227,0.0,0.0,0.03333
5022,175724.9894,11,175725.3561,0.0,0.0,0.03333
5022,175724.9894,12,175725.3894,0.0,0.0,0.03333
5022,175724.9894,13,175725.4227,0.0,0.0,0.03333
5022,175724.9894,14,175725.4561,0.0,0.0,0.03333
5022,175724.9894,15,175725.4894,0.0,0.0,0.03333
5022,175724.9894,16,175725.5227,0.0,0.0,0.03333
5022,175724.9894,17,175725.5561,0.0,0.0,0.03333
5022,175724.9894,18,175725.5894,0.0,0.0,0.03333
5022,175724.9894,19,175725.6227,0.0,0.0,0.03333
5022,175724.9894,20,175725.6561,0.0,0.0,0.03333
5022,175724.9894,21,175725.6894,0.0,0.0,0.03333
5022,175724.9894,22,175725.7227,0.0,0.0,0.03333
5022,175724.9894,23,175725.7561,0.0,0.0,0.03333
5022,175724.9894,24,175725.7894,0.0,0.0,0.03333
5022,175724.9894,25,175725.8227,0.0,0.0,0.03333
5022,175724.9894,26,175725.8561,0.0,0.0,0.03333
5022,175724.9894,27,175725.8894,0.0,0.0,0.03333
5022,175724.9894,28,175725.9227,0.0,0.0,0.03333
5022,175724.9894,29,175725.9561,0.0,0.0,0.03333
5022,175724.9894,30,175725.9894,0.0,0.0,0.03333
5022,175724.9894,31,175726.0227,0.0,0.0,0.03333
5023,175725.0915,0,175725.0915,0.0,0.0,0.03333
5023,175725.0915,1,175725.1248,0.0,0.0,0.03333
5023,175725.0915,2,175725.1581,0.0,0.0,0.03333
5023,175725.0915,3,175725.1915,0.0,0.0,0.03333
5023,175725.0915,4,175725.2248,0.0,0.0,0.03333
5023,175725.0915,5,175725.2581,0.0,0.0,0.03333
5023,175725.0915,6,175725.2915,0.0,0.0,0.03333
5023,175725.0915,7,175725.3248,0.0,0.0,0.03333
5023,175725.0915,8,175725.3581,0.0,0.0,0.03333
